Offset,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl
1.2,0,1, ,6,,0,1, ,4,,0,1, ,8,,0,1, ,4
//easy,1.8,1, ,7,//normal,0.45,1, ,1,//expert,0.15,1, ,6,//extra,0.15,1, ,1
Normal,2.4,1, ,7,,1.8,1, ,5,,0.3,1, ,6,,0.3,1, ,6
363,3.6,1, ,4,,1.95,1, ,4,,0.45,1, ,8,,0.45,1, ,7
Hard,4.2,1, ,6,,2.1,1, ,3,,0.9,1, ,4,,0.9,1, ,4
699,4.8,2, ,4,,2.4,2, ,2,,1.8,1, ,7,,1.8,2, ,3
Expert,6,2, ,5,,2.85,2, ,3,,1.95,1, ,8,,1.95,2, ,5
1020,7.2,2, ,1,,3.3,2, ,7,,2.1,1, ,1,,2.1,2, ,4
Extra,9,2, ,5,,3.6,2, ,1,,2.4,2, ,6,,2.4,2, ,7
1208,9.6,3, ,3,,4.2,2, ,2,,2.55,2, ,3,,2.55,2, ,2
End,10.8,3, ,7,,4.8,3, ,1,,2.7,2, ,1,,2.7,2, ,4
170,12,3, ,3,,5.25,3, ,2,,2.85,2, ,2,,2.85,2, ,8
,13.2,3, ,7,,5.7,3, ,1,,3.3,2, ,5,,3.3,2, ,8
Insane,13.8,3, ,1,,6,3, ,2,,3.6,2, ,5,,3.6,3, ,6
,14.4,4, ,6,,6.45,3, ,2,,4.2,2, ,2,,4.2,4, ,2
,15.6,4, ,3,,6.9,3, ,2,,4.8,3, ,1,,4.8,1, ,4
FileType,16.8,4, ,5,,7.2,4, ,8,,4.95,3, ,2,,4.95,1, ,2
1,18,4, ,8,,7.65,4, ,1,,5.1,3, ,2,,5.1,1, ,2
,18.9,4, ,3,,8.1,4, ,2,,5.25,3, ,7,,5.25,1, ,2
,19.2,1, ,8,,8.4,4, ,4,,5.55,3, ,1,,5.55,1, ,3
,20.4,1, ,1,,8.7,4, ,1,,5.7,3, ,4,,5.85,1, ,1
,21.6,1, ,5,,9,4, ,2,,5.85,3, ,4,,6,2, ,5
,22.8,1, ,4,,9.3,4, ,2,,6,3, ,3,,6.15,2, ,2
,24,2, ,1,,9.6,1, ,7,,6.15,3, ,1,,6.3,2, ,7
,25.2,2, ,3,,9.9,1, ,4,,6.3,3, ,8,,6.45,2, ,7
,26.4,2, ,6,,10.2,1, ,2,,6.45,3, ,3,,6.75,2, ,4
,27.6,2, ,2,,10.5,1, ,8,,6.75,3, ,3,,6.9,2, ,7
,28.8,1, ,1,,10.8,1, ,3,,6.9,3, ,2,,7.2,3, ,2
,30,1, ,7,,11.1,1, ,6,,7.2,4, ,4,,7.35,3, ,8
,31.2,1, ,8,,11.4,1, ,1,,7.35,4, ,7,,7.5,3, ,1
,32.4,1, ,2,,11.7,1, ,8,,7.5,4, ,4,,7.65,3, ,5
,33.6,3, ,2,,12,2, ,2,,7.65,4, ,8,,8.1,3, ,2
,34.8,3, ,5,,12.3,2, ,8,,7.95,4, ,2,,8.4,4, ,5
,36,3, ,7,,12.6,2, ,4,,8.1,4, ,6,,8.55,4, ,8
,37.2,3, ,1,,12.9,2, ,5,,8.4,4, ,8,,8.7,4, ,2
,38.4,1, ,5,,13.2,2, ,6,,8.7,4, ,1,,8.85,4, ,5
,39.6,1, ,6,,13.425,2, ,4,,9,4, ,5,,9,4, ,2
,40.8,1, ,3,,13.65,2, ,6,,9.3,4, ,2,,9.075,4, ,3
,42,1, ,2,,13.8,2, ,6,,9.6,1, ,2,,9.15,4, ,2
,43.2,4, ,4,,14.1,2, ,1,,9.9,1, ,6,,9.3,4, ,8
,44.4,4, ,8,,14.4,3, ,7,,10.2,1, ,2,,9.6,1, ,3
,45.6,4, ,4,,14.7,3, ,6,,10.5,1, ,1,,9.75,1, ,2
,46.8,4, ,4,,15,3, ,7,,10.8,1, ,2,,9.9,1, ,6
,48,1, ,3,,15.3,3, ,6,,11.1,1, ,5,,10.05,1, ,3
,49.2,1, ,3,,15.6,3, ,5,,11.4,1, ,8,,10.35,1, ,6
,50.4,2, ,6,,15.9,3, ,5,,11.7,1, ,7,,10.425,1, ,7
,51.6,2, ,8,,16.2,3, ,7,,12,2, ,3,,10.5,1, ,2
,52.8,3, ,2,,16.5,3, ,3,,12.3,2, ,8,,10.575,1, ,8
,54,3, ,4,,16.8,4, ,1,,12.6,2, ,3,,10.65,1, ,1
,55.2,4, ,4,,17.1,4, ,6,,12.9,2, ,3,,10.8,2, ,6
,56.4,4, ,4,,17.4,4, ,5,,13.2,2, ,2,,10.95,2, ,8
,57.6,1, ,5,,17.7,4, ,4,,13.425,2, ,7,,11.025,2, ,6
,58.8,1, ,3,,18,4, ,3,,13.65,2, ,5,,11.1,2, ,1
,60,1, ,3,,18.3,4, ,3,,13.8,2, ,2,,11.25,2, ,5
,61.2,1, ,3,,18.6,4, ,1,,13.95,2, ,2,,11.475,2, ,8
,62.4,2, ,8,,18.75,4, ,8,,14.1,2, ,3,,11.55,2, ,7
,63.6,2, ,6,,18.9,4, ,8,,14.4,3, ,4,,11.7,3, ,8
,64.8,3, ,7,,19.2,1, ,4,,14.55,3, ,1,,11.775,3, ,4
,66,4, ,5,,19.5,1, ,6,,14.7,3, ,2,,11.85,3, ,2
,67.2,1, ,7,,19.65,1, ,6,,14.85,3, ,8,,11.925,3, ,3
,69.6,1, ,5,,19.95,1, ,3,,15,3, ,3,,12,3, ,5
,70.05,1, ,3,,20.25,1, ,3,,15.15,3, ,5,,12.15,3, ,1
,70.8,1, ,5,,20.55,1, ,6,,15.3,3, ,5,,12.225,3, ,6
,71.25,1, ,2,,20.85,1, ,8,,15.45,3, ,4,,12.3,3, ,3
,71.7,1, ,3,,21.15,1, ,2,,15.6,3, ,3,,12.45,3, ,6
,72,2, ,8,,21.45,1, ,4,,15.75,3, ,6,,12.525,3, ,3
